===============================================================================
Id,,len,datetime,open,high,low,close,volume,openinterest,MacdCross,len,datetime,Broker,len,cash,value,BuySell,len,buy,sell,Trades - Net Profit/Loss,len,pnlplus,pnlminus
68,,68,2015-04-10 00:00:00,44.708187317411394,45.370177862689914,44.42036709155813,45.25504684448242,2278300.0,,MacdCross,68,735698.0,Broker,68,10000.0,10000.0,BuySell,68,,,Trades - Net Profit/Loss,68,,
69,,69,2015-04-13 00:00:00,45.33180661643137,45.51409192867178,44.74657000893165,44.7657585144043,2009300.0,,MacdCross,69,735701.0,Broker,69,10000.0,10000.0,BuySell,69,,,Trades - Net Profit/Loss,69,,
70,,70,2015-04-14 00:00:00,44.765766637826715,45.08237154582842,44.15174899061186,44.99602508544922,2672500.0,,MacdCross,70,735702.0,Broker,70,10000.0,10000.0,BuySell,70,,,Trades - Net Profit/Loss,70,,
71,,71,2015-04-15 00:00:00,45.13992652743794,45.3030269987574,45.00561064507681,45.091957092285156,1578500.0,,MacdCross,71,735703.0,Broker,71,10000.0,10000.0,BuySell,71,,,Trades - Net Profit/Loss,71,,
72,,72,2015-04-16 00:00:00,44.90007909021044,45.25505732900844,44.74657469020318,45.22627639770508,1585500.0,,MacdCross,72,735704.0,Broker,72,10000.0,10000.0,BuySell,72,,,Trades - Net Profit/Loss,72,,
73,,73,2015-04-17 00:00:00,44.9960270420617,45.120746865939765,44.57388714636971,44.87130355834961,2885100.0,,MacdCross,73,735705.0,Broker,73,10000.0,10000.0,BuySell,73,,,Trades - Net Profit/Loss,73,,
74,,74,2015-04-20 00:00:00,44.98642098517691,45.21667939177096,44.81372809518968,45.130332946777344,2890200.0,,MacdCross,74,735708.0,Broker,74,10000.0,10000.0,BuySell,74,,,Trades - Net Profit/Loss,74,,
75,,75,2015-04-21 00:00:00,45.360591822488644,45.6484157718887,45.18789891678203,45.61003875732422,3139000.0,,MacdCross,75,735709.0,Broker,75,10000.0,10000.0,BuySell,75,,,Trades - Net Profit/Loss,75,,
76,,76,2015-04-22 00:00:00,45.52368644989542,45.59084438682964,45.0247963042176,45.12073516845703,2075700.0,,MacdCross,76,735710.0,Broker,76,10000.0,10000.0,BuySell,76,,,Trades - Net Profit/Loss,76,,
77,,77,2015-04-23 00:00:00,45.03440337360499,45.18790780221339,44.67942506866698,45.13993835449219,2113300.0,,MacdCross,77,735711.0,Broker,77,10000.0,10000.0,BuySell,77,,,Trades - Net Profit/Loss,77,,
78,,78,2015-04-24 00:00:00,44.98641979916253,46.04176561679858,44.832915418757864,45.96501159667969,3449500.0,,MacdCross,78,735712.0,Broker,78,10000.0,10000.0,BuySell,78,,,Trades - Net Profit/Loss,78,,
79,,79,2015-04-27 00:00:00,46.03217134454077,46.04176742734955,44.84251326458067,44.92885971069336,2684100.0,,MacdCross,79,735715.0,Broker,79,10000.0,10000.0,BuySell,79,,,Trades - Net Profit/Loss,79,,
80,,80,2015-04-28 00:00:00,44.8233192437442,44.919258101028106,43.7871620178805,43.87350845336914,4492400.0,,MacdCross,80,735716.0,Broker,80,10000.0,10000.0,BuySell,80,,,Trades - Net Profit/Loss,80,,
