===============================================================================
Id,,len,datetime,open,high,low,close,volume,openinterest,KDJ_MACDStrategy,len,datetime,Broker,len,cash,value,BuySell,len,buy,sell,Trades - Net Profit/Loss,len,pnlplus,pnlminus
37,,37,2015-02-25 00:00:00,43.622538681207004,44.02476816714573,43.46930927067733,43.78534698486328,2958800.0,,KDJ_MACDStrategy,37,735654.0,Broker,37,10000.0,10000.0,BuySell,37,,,Trades - Net Profit/Loss,37,,
38,,38,2015-02-26 00:00:00,43.89068688778239,44.723871465274264,43.861953865608996,44.647254943847656,4903000.0,,KDJ_MACDStrategy,38,735655.0,Broker,38,10000.0,10000.0,BuySell,38,,,Trades - Net Profit/Loss,38,,
39,,39,2015-02-27 00:00:00,44.570645416608954,44.89625835052559,44.0918030816302,44.139686584472656,5555500.0,,KDJ_MACDStrategy,39,735656.0,Broker,39,10000.0,10000.0,BuySell,39,,,Trades - Net Profit/Loss,39,,
40,,40,2015-03-02 00:00:00,44.13969446157117,45.59537585807838,44.13969446157117,45.30807113647461,5261700.0,,KDJ_MACDStrategy,40,735659.0,Broker,40,10000.0,10000.0,BuySell,40,,,Trades - Net Profit/Loss,40,,
41,,41,2015-03-03 00:00:00,45.279328972091875,45.33679136613091,44.379106718475654,44.57064437866211,2256200.0,,KDJ_MACDStrategy,41,735660.0,Broker,41,10000.0,10000.0,BuySell,41,,,Trades - Net Profit/Loss,41,,
42,,42,2015-03-04 00:00:00,44.43656621375517,44.522757972552625,43.91941566097047,44.27375793457031,3293000.0,,KDJ_MACDStrategy,42,735661.0,Broker,42,10000.0,10000.0,BuySell,42,,,Trades - Net Profit/Loss,42,,
43,,43,2015-03-05 00:00:00,44.71428937280431,44.84836827570349,44.043913124691166,44.494022369384766,2327600.0,,KDJ_MACDStrategy,43,735662.0,Broker,43,10000.0,10000.0,BuySell,43,,,Trades - Net Profit/Loss,43,,
44,,44,2015-03-06 00:00:00,44.3408042904795,44.56107135003136,43.73746186014679,43.84280776977539,3486500.0,,KDJ_MACDStrategy,44,735663.0,Broker,44,10000.0,10000.0,BuySell,44,,,Trades - Net Profit/Loss,44,,
45,,45,2015-03-09 00:00:00,43.92899686873903,44.97287335456721,43.5555004142892,44.33122634887695,3757800.0,,KDJ_MACDStrategy,45,735666.0,Broker,45,10000.0,10000.0,BuySell,45,,,Trades - Net Profit/Loss,45,,
46,,46,2015-03-10 00:00:00,44.177990419561766,44.32164091368931,43.74703163062569,43.76618576049805,2189500.0,,KDJ_MACDStrategy,46,735667.0,Broker,46,10000.0,10000.0,BuySell,46,,,Trades - Net Profit/Loss,46,,
47,,47,2015-03-11 00:00:00,43.93857201786873,44.60895199212625,43.794917861500345,44.06306838989258,3245000.0,,KDJ_MACDStrategy,47,735668.0,Broker,47,10000.0,10000.0,BuySell,47,,,Trades - Net Profit/Loss,47,,
48,,48,2015-03-12 00:00:00,44.350372845843154,44.88667385598993,44.18756457256528,44.85794448852539,2276500.0,,KDJ_MACDStrategy,48,735669.0,Broker,48,10000.0,10000.0,BuySell,48,,,Trades - Net Profit/Loss,48,,
49,,49,2015-03-13 00:00:00,44.87710184169904,44.87710184169904,44.072646615413746,44.48445129394531,2487100.0,,KDJ_MACDStrategy,49,735670.0,Broker,49,10000.0,10000.0,BuySell,49,,,Trades - Net Profit/Loss,49,,
50,,50,2015-03-16 00:00:00,44.73344059404014,45.03989933133626,44.580211225392084,44.99201583862305,2519800.0,,KDJ_MACDStrategy,50,735673.0,Broker,50,10000.0,10000.0,BuySell,50,,,Trades - Net Profit/Loss,50,,
51,,51,2015-03-17 00:00:00,44.64724806022039,45.336782033641576,44.44613520239797,45.154823303222656,2906900.0,,KDJ_MACDStrategy,51,735674.0,Broker,51,10000.0,10000.0,BuySell,51,,,Trades - Net Profit/Loss,51,,
52,,52,2015-03-18 00:00:00,44.99202395190354,45.73901680210632,44.695140398303394,45.499595642089844,3056000.0,,KDJ_MACDStrategy,52,735675.0,Broker,52,10000.0,10000.0,BuySell,52,,,Trades - Net Profit/Loss,52,,
53,,53,2015-03-19 00:00:00,45.45170353011838,45.71985766276457,45.10693654048491,45.4038200378418,2000700.0,,KDJ_MACDStrategy,53,735676.0,Broker,53,10000.0,10000.0,BuySell,53,,,Trades - Net Profit/Loss,53,,
54,,54,2015-03-20 00:00:00,45.480457632983864,45.89225878009579,45.10695745220759,45.3368034362793,4542700.0,,KDJ_MACDStrategy,54,735677.0,Broker,54,10000.0,10000.0,BuySell,54,,,Trades - Net Profit/Loss,54,,
55,,55,2015-03-23 00:00:00,45.537894891464006,45.68154902035217,45.049477429141504,45.154823303222656,4820100.0,,KDJ_MACDStrategy,55,735680.0,Broker,55,10000.0,10000.0,BuySell,55,,,Trades - Net Profit/Loss,55,,
56,,56,2015-03-24 00:00:00,45.241022440540206,45.5953647222003,44.78133061431265,45.030330657958984,1938100.0,,KDJ_MACDStrategy,56,735681.0,Broker,56,10000.0,10000.0,BuySell,56,,,Trades - Net Profit/Loss,56,,
57,,57,2015-03-25 00:00:00,45.17399070508278,45.375107291544474,44.26419305878982,44.312076568603516,4148400.0,,KDJ_MACDStrategy,57,735682.0,Broker,57,10000.0,10000.0,BuySell,57,,,Trades - Net Profit/Loss,57,,
58,,58,2015-03-26 00:00:00,44.072636992309334,44.42697920113799,43.756599383395816,44.15882873535156,3550800.0,,KDJ_MACDStrategy,58,735683.0,Broker,58,10000.0,10000.0,BuySell,58,,,Trades - Net Profit/Loss,58,,
59,,59,2015-03-27 00:00:00,44.187566523443365,44.56106293007875,44.05349126498726,44.264183044433594,2801700.0,,KDJ_MACDStrategy,59,735684.0,Broker,59,10000.0,10000.0,BuySell,59,,,Trades - Net Profit/Loss,59,,
60,,60,2015-03-30 00:00:00,44.50360750690987,44.9728709464535,44.4557203510863,44.93456268310547,2206900.0,,KDJ_MACDStrategy,60,735687.0,Broker,60,10000.0,10000.0,BuySell,60,,,Trades - Net Profit/Loss,60,,
61,,61,2015-03-31 00:00:00,44.78133568084807,44.94414398215638,44.33122634887695,44.33122634887695,2768400.0,,KDJ_MACDStrategy,61,735688.0,Broker,61,10000.0,10000.0,BuySell,61,,,Trades - Net Profit/Loss,61,,
62,,62,2015-04-01 00:00:00,44.3408059438362,44.58980604011158,44.01519296251445,44.312076568603516,4751300.0,,KDJ_MACDStrategy,62,735689.0,Broker,62,10000.0,10000.0,BuySell,62,,,Trades - Net Profit/Loss,62,,
63,,63,2015-04-02 00:00:00,44.48445368583986,44.68556658990565,44.24503251815857,44.5323371887207,3084000.0,,KDJ_MACDStrategy,63,735690.0,Broker,63,10000.0,10000.0,BuySell,63,,,Trades - Net Profit/Loss,63,,
64,,64,2015-04-06 00:00:00,44.19715000197721,44.695142826988125,44.06307107632962,44.36953353881836,2385300.0,,KDJ_MACDStrategy,64,735694.0,Broker,64,10000.0,10000.0,BuySell,64,,,Trades - Net Profit/Loss,64,,
65,,65,2015-04-07 00:00:00,44.51632425380366,44.95764898930861,44.44916630100221,44.47794723510742,2367100.0,,KDJ_MACDStrategy,65,735695.0,Broker,65,10000.0,10000.0,BuySell,65,,,Trades - Net Profit/Loss,65,,
