===============================================================================
Id,,len,datetime,open,high,low,close,volume,openinterest,KDJStrategy,len,datetime,Broker,len,cash,value,BuySell,len,buy,sell,Trades - Net Profit/Loss,len,pnlplus,pnlminus
39,,39,2015-02-27 00:00:00,44.570630008840354,44.896242830194815,44.09178783939414,44.139671325683594,5555500.0,,KDJStrategy,39,735656.0,Broker,39,519.5375261732715,9970.351592103752,BuySell,39,43.43041102180322,,Trades - Net Profit/Loss,39,,
40,,40,2015-03-02 00:00:00,44.13968331259257,45.59536434141802,44.13968331259257,45.30805969238281,5261700.0,,KDJStrategy,40,735659.0,Broker,40,519.5375261732715,10220.517052761485,BuySell,40,,,Trades - Net Profit/Loss,40,,
41,,41,2015-03-03 00:00:00,45.27932509673995,45.33678748586092,44.379102920171654,44.570640563964844,2256200.0,,KDJStrategy,41,735660.0,Broker,41,519.5375261732715,10062.627089786532,BuySell,41,,,Trades - Net Profit/Loss,41,,
42,,42,2015-03-04 00:00:00,44.436562385030086,44.52275413640112,43.9194118768039,44.27375411987305,3293000.0,,KDJStrategy,42,735661.0,Broker,42,10033.919401184565,10033.919401184565,BuySell,42,,45.190595448447134,Trades - Net Profit/Loss,42,,-28.705428627755996
43,,43,2015-03-05 00:00:00,44.714297039968045,44.848375965857755,44.04392067690542,44.4940299987793,2327600.0,,KDJStrategy,43,735662.0,Broker,43,10033.919401184565,10033.919401184565,BuySell,43,,,Trades - Net Profit/Loss,43,,
44,,44,2015-03-06 00:00:00,44.3408042904795,44.56107135003136,43.73746186014679,43.84280776977539,3486500.0,,KDJStrategy,44,735663.0,Broker,44,10033.919401184565,10033.919401184565,BuySell,44,,,Trades - Net Profit/Loss,44,,
45,,45,2015-03-09 00:00:00,43.92899308865357,44.9728694846563,43.555496666343075,44.33122253417969,3757800.0,,KDJStrategy,45,735666.0,Broker,45,10033.919401184565,10033.919401184565,BuySell,45,,,Trades - Net Profit/Loss,45,,
46,,46,2015-03-10 00:00:00,44.177994270152276,44.32164477680051,43.74703544365347,43.76618957519531,2189500.0,,KDJStrategy,46,735667.0,Broker,46,10033.919401184565,10033.919401184565,BuySell,46,,,Trades - Net Profit/Loss,46,,
47,,47,2015-03-11 00:00:00,43.93856821394956,44.60894813016989,43.79491407001783,44.06306457519531,3245000.0,,KDJStrategy,47,735668.0,Broker,47,10033.919401184565,10033.919401184565,BuySell,47,,,Trades - Net Profit/Loss,47,,
48,,48,2015-03-12 00:00:00,44.3503653027759,44.886666221709135,44.1875570571883,44.85793685913086,2276500.0,,KDJStrategy,48,735669.0,Broker,48,10033.919401184565,10033.919401184565,BuySell,48,,,Trades - Net Profit/Loss,48,,
49,,49,2015-03-13 00:00:00,44.87710569006745,44.87710569006745,44.07265039479731,44.48445510864258,2487100.0,,KDJStrategy,49,735670.0,Broker,49,497.6226311543469,9950.481924239139,BuySell,49,43.41156063887534,,Trades - Net Profit/Loss,49,,
50,,50,2015-03-16 00:00:00,44.733459557908546,45.039918425121854,44.58023012430189,44.992034912109375,2519800.0,,KDJStrategy,50,735673.0,Broker,50,497.6226311543469,10058.34163501822,BuySell,50,,,Trades - Net Profit/Loss,50,,
51,,51,2015-03-17 00:00:00,44.647259375671716,45.33679352384921,44.446146466879014,45.15483474731445,2906900.0,,KDJStrategy,51,735674.0,Broker,51,497.6226311543469,10092.936280077321,BuySell,51,,,Trades - Net Profit/Loss,51,,
52,,52,2015-03-18 00:00:00,44.99202395190354,45.73901680210632,44.695140398303394,45.499595642089844,3056000.0,,KDJStrategy,52,735675.0,Broker,52,497.6226311543469,10166.19729271894,BuySell,52,,,Trades - Net Profit/Loss,52,,
53,,53,2015-03-19 00:00:00,45.45171880499957,45.71987302776389,45.10695169950081,45.40383529663086,2000700.0,,KDJStrategy,53,735676.0,Broker,53,497.6226311543469,10145.848407489926,BuySell,53,,,Trades - Net Profit/Loss,53,,
54,,54,2015-03-20 00:00:00,45.480438499061286,45.89223947292581,45.10693847541896,45.33678436279297,4542700.0,,KDJStrategy,54,735677.0,Broker,54,497.6226311543469,10131.600215812821,BuySell,54,,,Trades - Net Profit/Loss,54,,
55,,55,2015-03-23 00:00:00,45.53790643264192,45.68156059793795,45.04948884653432,45.15483474731445,4820100.0,,KDJStrategy,55,735680.0,Broker,55,10174.338260425773,10174.338260425773,BuySell,55,,46.36678400690702,Trades - Net Profit/Loss,55,140.4188592412092,
56,,56,2015-03-24 00:00:00,45.24103010563181,45.59537244732737,44.781338201519624,45.030338287353516,1938100.0,,KDJStrategy,56,735681.0,Broker,56,10174.338260425773,10174.338260425773,BuySell,56,,,Trades - Net Profit/Loss,56,,
